pipe dia Dp (ft),Area(ft2),L (ft),static head Ho (ft),"velocity, Vo (ft/s)",Hmin/Ho,"Initial Air Volume (So), ft3","Initial water volume(Sw),ft3"
2,3.14,3220,300,5.9,0.933,6.624696649,39.05087531
1.5,1.76625,2000,350,4,0.7,5.255908156,7.164406135
1,0.785,2520,300,5,0.75,4.034806361,6.826086957
0.75,0.4415625,3020,400,4.2,0.8,1.058416928,2.282926121
0.6,0.2826,4300,300,3.9,0.6,3.450569529,3.188904037
0.9,0.63585,5000,400,6,0.7,9.312812264,12.69443212
1.25,1.2265625,6500,375,7,0.4,183.6830912,80.88201993
0.4,0.1256,4500,250,2.5,0.4,2.49140017,1.097049689
0.5,0.19625,5000,200,2.9,0.4,7.275234524,3.203537461
1.75,2.4040625,4000,280,4.8,0.65,33.85418513,37.80602007
3,7.065,2200,300,1.5,0.933,0.658254472,3.880240059
2.5,4.90625,2600,350,2.6,0.7,8.018909874,10.93069464
2.25,3.9740625,3300,300,3.9,0.75,16.27385108,27.53210753
2.3,4.15265,4200,400,4,0.8,12.55606837,27.0825
1.1,0.94985,5000,300,5.2,0.6,23.97467201,22.15661146
2.2,3.7994,3000,400,5.6,0.7,29.08479416,39.64591304
1.95,2.9849625,3280,375,8,0.4,294.620361,129.7315379
1.85,2.6866625,2089,250,6.1,0.4,147.289756,64.85677534
1.8,2.5434,2500,200,5.3,0.4,157.4627192,69.336283
1.75,2.4040625,1690,280,4.9,0.65,14.90557601,16.6455197
2.6,5.3066,3500,300,4.95,0.933,8.565865447,50.49356389
3.2,8.0384,4500,350,4.6,0.7,71.17761061,97.02325364
1.7,2.26865,2580,300,3.89,0.75,7.226015666,12.22497609
0.95,0.7084625,1463,400,5.4,0.8,1.359902534,2.933208015
1.63,2.0856665,2365,300,5.6,0.6,28.87839287,26.68847065
2.39,4.4839985,2100,400,5.2,0.7,20.71787021,28.24083527
4,12.56,3520,375,1.55,0.4,49.94198034,21.99118178
3.4,9.0746,3320,250,2.5,0.4,132.8027019,58.47762422
1.4,1.5386,3120,200,2.9,0.4,35.59161133,15.67221783
1.66,2.163146,3650,280,4.8,0.65,27.79619288,31.04087196
1.52,1.82,2198,236,5.5,0.50,50.398032,31.90362009
2.09,3.44,2691,244,5.0,0.40,172.4518477,74.66084303
4.08,13.08,4391,258,5.1,0.39,1127.3858,468.1907485
2.55,5.12,3954,344,2.9,0.42,75.7577816,36.53902665
2.89,6.55,2274,215,5.0,0.38,356.1576456,143.0962639
3.19,8.00,4087,215,5.2,0.44,551.4955134,285.846037
